"Entry"	"Protein"	"Protein.names"	"Gene.names"	"Mito"	"GroupReg"	"PADPvalue"	"ModelPvalue"	"PADAdjPval"	"Genenames"	"Anno"	"AgingAnno"	"Gene"	"MitoDetails"	"non-PAD_MD1061_1.18"	"non-PAD_MD1098_1.23"	"non-PAD_MD1121_1.27"	"non-PAD_MD1145_1.22"	"non-PAD_MD1157 _1.33"	"non-PAD_MD1162 _1.14"	"non-PAD_MD1166_1.11"	"non-PAD_MD1176 _1.32"	"non-PAD_MD1178 _1.25"	"non-PAD_MD1181_1.07"	"non-PAD_MD1201 _1.16"	"non-PAD_MD1238 _1.31"	"non-PAD_MD1245_1.2"	"non-PAD_MD1252 _1.09"	"non-PAD_MD1335_1.09"	"non-PAD_MD1353 _1.22"	"non-PAD_MD1369_1.28"	"non-PAD_MD1371_1.12"	"non-PAD_MD1374_1.27"	"non-PAD_MD1427_1.27"	"non-PAD_MD1429_1.28"	"non-PAD_MD1441_1.28"	"non-PAD_MD1443_1.23"	"non-PAD_MD1458_1.22"	"non-PAD_MD1595_1.07"	"non-PAD_MD1607_1.28"	"non-PAD_MD1614_1.2"	"non-PAD_MD1644_1.17"	"PAD_C10181_0.4"	"PAD_C10328_0.6"	"PAD_L10184 _0.81"	"PAD_L11041 _0.54"	"PAD_L11917 _0.92"	"PAD_L15083_0.87"	"PAD_L15258_0.71"	"PAD_L15657_0.84"	"PAD_L15845_0.59"	"PAD_L16378_0.54"	"PAD_L16890_0.97"	"PAD_L17372_0.81"	"PAD_L18347 _0.47"	"PAD_M1608_0.72"	"PAD_M1623_0.88"	"PAD_MD1320 _0.51"	"PAD_P237981_0.75"	"PAD_P271390_0.76"	"PAD_P275131_0.42"	"PAD_P275191_0.76"	"PAD_P291480_0.55"	"PAD_P319287 _0.96"	"PAD_P546291_0.75"	"PAD_R34342_0.52"	"PAD_R47935_0.74"	"PAD_R70797_0.6"	"PAD_R75233_0.45"	"PAD_T10608_0.57"	"PAD_T11097_0.82"	"PAD_T14186_0.45"	"PAD_T16115_0.97"
"ATPAF2"	"Q8N5M1"	"ATPF2_HUMAN"	"ATP synthase mitochondrial F1 complex assembly factor 2 (ATP12 homolog)"	"ATPAF2 ATP12 LP3663"	TRUE	0.031203343	0.531618496	0.171012317	0.85957353	"ATPAF2 ATP12 LP3663"	"Respiratory chain"	"Proteostasis"	"ATPAF2"	"Assembly Complex"	0.229932713	0.09031195	0.02226304	-0.174563121	-0.3379022	0.070178108	0.3170896	0.2937686	0.104598592	0.09361752	0.1273505	-0.038660328	-0.04219016	0.05333024	-0.02387092	-0.3356635	-0.01186783	0.009864377	-0.04409509	0.613251	0.01325645	0.02517846	-0.115894263	-0.200067244	-0.148311	-0.019061908	0.04884973	-0.102797307	0.3579541	-0.06263245	0.251490937	-0.2145476	0.1493931	-0.243539	-0.05647996	0.1967052	-0.1573205	0.01275467	0.023182048	-0.028242616	-0.1137694	-0.08536	0.3086871	0.037270271	0.0578783	0.008539328	-0.123894821	0.020080838	0.015047982	0.05540067	-0.01225028	-0.332728	0.08044201	0.066793795	0.166953454	-0.08752338	0.1356718	-0.274975711	-0.08677873
"ATP5F1C"	"P36542"	"ATPG_HUMAN"	"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)"	"ATP5F1C ATP5C ATP5C1 ATP5CL1"	TRUE	0.140038769	0.024583058	0.001241762	0.323384718	"ATP5C1 ATP5C ATP5CL1"	"Respiratory chain"	"Mitochondrion"	"ATP5F1C"	"Complex V"	0.38441489	0.16953178	0.015855055	-0.2539894	-0.621093045	-0.05325518	0.048512817	0.121445253	0.366817673	0.228647373	0.208562594	-0.107634259	-0.076893758	0.070817227	-0.395783821	-0.385958874	-0.086092898	0.270216712	-0.056603181	0.923143789	-0.074280345	0.106981042	-0.150119049	-0.245785359	-0.097591495	-0.012412521	0.024362629	-0.142505577	0.121514694	-0.033276315	0.438645652	-0.187942636	0.055059943	-0.288623036	0.008282615	0.124602374	0.01257462	0.153715444	0.309078029	-0.048371343	-0.137134222	0.003084443	0.44103165	-0.039333204	0.074612139	-0.067092648	-0.07220542	0.094863212	-0.003239724	0.012531209	0.0224437	-0.067919396	0.049574412	-0.002432621	0.433774199	-0.119798374	0.180575222	-0.356894312	-0.059252397
"ATP5MF"	"P56134"	"ATPK_HUMAN"	"ATP synthase subunit f, mitochondrial (ATP synthase membrane subunit f)"	"ATP5MF ATP5J2 ATP5JL"	TRUE	0.105776504	0.122482746	0.010966475	0.545863909	"ATP5J2 ATP5JL"	"Respiratory chain"	"Mitochondrion"	"ATP5MF"	"Complex V"	0.230452253	0.238595516	-0.02077928	-0.23471809	-0.653549567	-0.077065821	0.121761932	0.166943473	0.359114583	0.194464839	0.1012668	-0.040489768	-0.174480888	0.15207203	-0.563191203	-0.300266343	-0.001108147	0.219821018	-0.03430877	0.646629217	-0.026824871	0.12812053	-0.136265328	-0.113941102	-0.182233695	0.049533979	-0.003229619	-0.211755459	0.328610878	-0.15840008	0.520467179	-0.247354091	-0.004373074	-0.224188222	-0.035478175	0.147911732	-0.118157615	0.118791447	0.323136594	-0.128212384	-0.14104221	0.081450248	0.3300511	0.009089834	0.069807433	-0.158805118	-0.121534328	0.054273199	0.037675462	0.1320801	0.04299829	-0.861698853	0.052149395	-0.009089834	0.340021832	-0.1740078	0.134129414	-0.28305422	-0.1070385
"ATP5PO"	"P48047"	"ATPO_HUMAN"	"ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein) (OSCP)"	"ATP5PO ATP5O ATPO"	TRUE	0.116848375	0.028618967	0.000463582	0.335542581	"ATP5O ATPO"	"Respiratory chain"	"Mitochondrion"	"ATP5PO"	"Complex V"	0.174354786	0.067381773	0.006916109	-0.146776739	-0.538802353	-0.02859239	0.065788675	0.14735885	0.366025693	0.205435413	0.100780995	-0.069205304	-0.154547747	0.021011635	-0.422878125	-0.250452979	-0.005781516	0.317742473	-0.011187185	0.743144704	-0.018749697	0.167574822	-0.151824207	-0.133364323	-0.145938076	-0.010084387	0.069394713	-0.187806992	0.225740334	-0.084255261	0.423993622	-0.144584714	0.016033839	-0.290882754	-0.010050597	0.133415066	-0.009790047	0.168116033	0.34622959	-0.086234764	-0.107422997	0.019740939	0.348726308	-0.077058398	0.068601961	-0.049610877	-0.020190456	0.097344022	0.061232396	0.03466221	-0.009609364	-0.391765282	0.050577844	-0.016616687	0.211570299	-0.114551166	0.120035701	-0.181933952	-0.066977173
"BCS1L"	"Q9Y276"	"BCS1_HUMAN"	"Mitochondrial chaperone BCS1 (h-BCS1) (BCS1-like protein)"	"BCS1L BCS1"	TRUE	0.088427205	0.078762854	0.034100697	0.471302358	"BCS1L BCS1"	"Respiratory chain"	"Proteostasis"	"BCS1L"	"Assembly Complex"	0.031214527	0.3020191	-0.3498228	-0.125924215	-0.4451542	-0.043556908	0.2285778	0.1486887	0.277813396	0.1425801	0.3461504	-0.089625252	-0.05960501	0.01232043	-0.419637	-0.2844816	0.008418259	0.074066801	0.04329578	0.3731612	-0.1155893	0.09156898	-0.289396468	0.013473979	-0.03128677	-0.068666865	-0.04668231	-0.158424903	0.000635339	-0.0559152	0.157532148	-0.1562771	-0.008608305	-0.1672569	0.1244877	0.1717804	0.2098557	0.118618	0.046296435	-0.093419132	-0.105378	0.02438439	0.2209834	-0.243241465	-0.02072641	-0.1803074	0.033029945	0.109062053	0.052907044	0.1605461	-0.006283669	-0.4504291	0.1162604	-0.020295014	0.129844508	-0.04647798	0.1455357	0.050613187	-0.01875227
"SDHC"	"Q99643"	"C560_HUMAN"	"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1) (Succinate dehydrogenase complex subunit C) (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)"	"SDHC CYB560 SDH3"	TRUE	-0.038153878	0.79648701	0.501893625	0.949254804	"SDHC CYB560 SDH3"	"Respiratory chain"	"Mitochondrion"	"SDHC"	"Complex II"	NA	NA	0.03956608	NA	NA	NA	0.3981762	NA	NA	NA	0.1369854	NA	NA	0.1925516	NA	NA	0.01701493	NA	-0.199492	NA	NA	NA	NA	NA	-0.3831798	NA	0.1935666	NA	0.6348457	NA	NA	NA	NA	-0.2852975	0.2362252	NA	-0.3384887	NA	NA	NA	NA	NA	0.5499884	NA	-0.02166407	NA	NA	NA	NA	0.108451	0.03656379	-0.2296042	NA	NA	NA	-0.2969306	NA	NA	-0.2775248
"NDUFAF1"	"Q9Y375"	"CIA30_HUMAN"	"Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)"	"NDUFAF1 CIA30 CGI-65"	TRUE	-0.098381079	0.366748492	0.052431704	0.773914039	"NDUFAF1 CIA30 CGI-65"	"Respiratory chain"	"Proteostasis"	"NDUFAF1"	"Assembly Complex"	0.3993988	0.1373308	0.1224754	NA	-0.2878511	NA	0.1746423	0.2854127	0.5031705	1.175604	0.05159034	-0.1117057	-0.05049501	0.1817022	-0.572218	-0.009227011	-0.1363598	NA	0.3239823	-0.1504364	0.08170075	0.3063156	-0.1574872	NA	-0.3815447	NA	0.3368404	0.03795354	0.4399019	-0.000772253	NA	-0.3380541	0.05049501	-0.5275195	0.2090603	-0.4890283	-0.1534108	0.155184	NA	-0.1952182	0.000772253	0.3821097	0.6354896	NA	-0.1502543	-0.5783377	NA	0.0504256	-0.03592486	-0.0670035	-0.227954	-0.628005	-0.2156383	NA	0.2635954	-0.1283753	0.2574932	-0.4097966	-0.8362098
"COA1"	"Q9GZY4"	"COA1_HUMAN"	"Cytochrome c oxidase assembly factor 1 homolog (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 15 kDa)"	"COA1 C7orf44 MITRAC15"	TRUE	0.188038493	0.055782697	0.160536142	0.422478772	"COA1 C7orf44 MITRAC15"	"Respiratory chain"	"Mitochondrion"	"COA1"	"Assembly Complex"	NA	NA	-0.2071842	NA	NA	NA	NA	NA	NA	NA	-0.04912559	NA	NA	NA	NA	NA	NA	NA	-0.2254109	NA	NA	NA	NA	NA	NA	NA	-0.008338307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008338307	NA	NA	NA	NA	NA	NA	0.1860526	-0.05435454	NA	NA	NA	NA	0.1237493	NA	NA	0.09315742
"COA3"	"Q9Y2R0"	"COA3_HUMAN"	"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial (Coiled-coil domain-containing protein 56) (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 12 kDa)"	"COA3 CCDC56 MITRAC12 HSPC009"	TRUE	0.054958548	0.386383203	0.199460448	0.788763675	"COA3 CCDC56 MITRAC12 HSPC009"	"Respiratory chain"	"Mitochondrion"	"COA3"	"Assembly Complex"	0.3239886	0.0219929	-0.08455704	-0.1939902	-0.4857921	-0.02506311	0.1052326	0.1301904	-0.1427211	0.3042074	0.1056672	-0.487115	-0.02719721	0.2475726	-0.08051576	-0.3058713	-0.02567586	-0.005027271	-0.04922795	0.6033102	-0.1988702	0.009373057	-0.07626275	0.01080756	-0.1969515	0.03561113	0.03884358	0.08544045	0.124877	0.1971859	0.005027271	-0.15846	-0.07674803	-0.7027225	-0.1035878	0.1255342	0.2025713	0.1214769	0.1378767	0.2069186	-0.0219929	-0.2961447	0.06399097	0.06151242	0.2580986	0.1236632	-0.04297017	-0.00429031	-0.2081697	0.07364463	-0.03163363	-0.2806115	0.02250635	-0.08884948	0.4671727	0.1462383	0.007112166	-0.3844007	-0.2623879
"COA5"	"Q86WW8"	"COA5_HUMAN"	"Cytochrome c oxidase assembly factor 5"	"COA5 C2orf64"	TRUE	0.13246003	0.150385777	0.19702002	0.578676505	"COA5 C2orf64"	"Respiratory chain"	"Mitochondrion"	"COA5"	"Assembly Complex"	NA	NA	0.2637397	-0.3948672	-0.4680795	-0.179545	NA	NA	NA	0.2910892	0.08319042	NA	0.06808648	NA	-0.4564613	NA	NA	-0.04701633	-0.2664315	NA	NA	-0.01389233	NA	-0.1473546	NA	-0.007829432	0.2584229	NA	NA	NA	0.1567922	NA	0.02320374	NA	NA	-0.235913	NA	0.2828822	0.07721409	NA	NA	0.02884679	0.2035419	0.07409416	NA	-0.07303088	-0.1295403	NA	NA	0.01372957	-0.05431029	NA	NA	0.1565144	NA	-0.1009974	NA	NA	-0.545049
"COA6"	"Q5JTJ3"	"COA6_HUMAN"	"Cytochrome c oxidase assembly factor 6 homolog"	"COA6 C1orf31"	TRUE	0.027900944	0.662408119	0.743993162	0.914045155	"COA6 C1orf31"	"Respiratory chain"	"Mitochondrion"	"COA6"	"Assembly Complex"	NA	0.2179662	-0.004541322	NA	NA	NA	0.03719378	0.1322966	NA	NA	0.08242625	NA	NA	0.001698367	NA	-0.05616768	-0.1269329	NA	-0.2196775	0.3600902	-0.08385246	NA	NA	NA	0.03433274	NA	-0.08242625	NA	-0.03433274	-0.09045253	NA	-0.143567	NA	0.06350638	0.1410403	NA	-0.1255816	NA	NA	NA	-0.1080805	NA	0.1659434	NA	-0.2505012	NA	NA	NA	NA	0.1791764	0.1007633	0.2496705	0.04808122	NA	NA	-0.1189664	0.2821272	NA	0.01509143
"COA7"	"Q96BR5"	"COA7_HUMAN"	"Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)"	"COA7 C1orf163 RESA1 SELRC1"	TRUE	0.13076137	0.117026203	0.364028714	0.538828051	"COA7 C1orf163 RESA1 SELRC1"	"Respiratory chain"	"Mitochondrion"	"COA7"	"Assembly Complex"	NA	-0.1154215	-0.1264926	-0.2932919	-0.3936267	0.01363335	0.2103842	-0.03737138	NA	0.03565772	0.32486	NA	-0.297462	-0.08695678	-0.1656732	-0.1282903	-0.4306685	0.447263	-0.07111692	0.3075834	-0.000693847	0.4523511	NA	-0.01363335	-0.05746187	-0.1123323	-0.1759153	NA	-0.1041863	0.01182036	0.3904896	-0.1853992	0.009583853	-0.1062657	0.3869358	0.1644311	0.5190761	0.005422166	0.1309146	NA	0.02043013	0.02284466	0.2106193	-0.1479798	0.346656	0.07071058	0.02221995	NA	NA	0.1798258	-0.1632928	-0.9840562	0.05042046	-0.1315386	NA	0.03775093	0.03737138	NA	0.1009952
